Тема,Описание,Точка отказа,Серийный номер,Тип оборудования
Неисправность Ноутбук СИЛА НК2-3404 - NTB48447 S/N,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48447 (S/N: C223091505)
 Описание неисправности – вышла из строя матрица. По всей площади экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Матрица,C223091505,Ноутбук
Гарантийный ремонт Т2,"Добрый день. 
 Прошу произвести гарантийный ремонт ноутбука: 
 1.       СИЛА НК2-1404 s/n C223014726 (Отклеилась защитная сетка на крышке, в связи с чем кулер цепляет и издает звук)",Вентилятор,C223014726,Ноутбук
НК2-1404 v2 // Не работает зарядное устройство,Не работает зарядное устройство,Блок питания,C223100822,Ноутбук
НК2-1404 // Не работает Wi-FI (Кашира),На устройстве не работает WiFi,Wi-fi антенна,C223101179,Ноутбук
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров,"Добрый день!
После обновления bios и bmc в bmc было зафиксировано нулевое значение оборотов системных кулеров (скриншот во вложении). Логи были очищены; после перезагрузки bmc логи перестали собираться, а значения оборотов кулеров так и остались на нуле.
версия bios: 8.3
версия bmc: 1264_3",Вентилятор,D251110031,Сервер
мерцает экран ноутбука,мерцает экран ноутбука,Матрица,C223091623,Ноутбук
Ноутбук Сила НК2-1404 v2  SN:  не работает сетевой адаптер,Ноутбук Сила НК2-1404 v2  SN:  C223100312 не работает сетевой адаптер,Wi-fi модуль,C223100312,Ноутбук
Сервер СР2-5422 // После обновления bios и bmc перестал работать BMC,"Привет! Обновили BIOS и BMC до последней версии (SILA_015_bios_rev8_3/CUBE 1.5).
Доступ к серверу по IPMI пропал. В BIOS настраивать BMC (повесить IP и тд) можно, но сервер по bmc не пингуется и не доступен по веб соответственно.
Пробовали отключать питание на 10 минут. Отключать в BIOS bmc функцию и снова включать. Проблема осталась",Материнская плата,D251110011,Сервер
Повреждение матрицы,Прошу произвести диагностику и сориентировать по условиям ремонта данного ноутбука.,Матрица,C223014328,Ноутбук
HK2-1404 // шумит кулер + артефакты на экране ноутбука,"Добрый день.

Прошу осуществить забор и последующий ремонт ноутбука  sn:C223010327.

Неисправность:

1)  шумит кулер (во вложении видео)
2) периодически появляются артефакты на экране ноутбука, в особенности, при работе в excel (во вложении видео).",Корпус,C223010327,Ноутбук
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день.
Прошу открыть кейс по неисправному диску на оборудовании DataDomain
sysadmin@dd501-p1(active:1)# alert show current
Id      Post Time                  Severity   Class             Object                Message
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
m0-37   Tue Jul 16 21:15:42 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=57   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
There is 1 active alert",Диск,CKM00194300974,Сервер
Неисправность сервера // 46906,"Коллеги, добрый день.
Просьба принять запрос.
Модель: сервер CP2 – 5422
S/N : D252030012 

 Описание: Неисправность системы охлаждения сервера. 
 Приоритет: 3 
 Дополнительная информация во вложении.",Сервер,D252030012,Сервер
Неисправность сервера СИЛА // 46917,"Коллеги, добрый день. 
 Просьба принять запрос. 
 Модель: сервер CP2 – 5422
S/N : D252030019 
 Расположение: КВ7 
Описание: Неисправность модуля управления сервером. 
 Скриншоты с проблемой во вложении.",Сервер,D252030019,Сервер
BIOS'ы,"Здравствуйте!
Поделитесь, пожалуйста, последними версиями BIOS на НК2-1404 и НК2-3404",Консультация,C223010345,Ноутбук
Ноутбук СИЛА НК2-3404// рябь экрана // c223091025,"Коллеги, привет!

Столкнулись с проблемой на ноутбуке Сила модель нк2-3404 s/n c223091025
У пользователя начал рябить экран, видео прилагаю
Необходимо организавать гарантийный ремонт ноутбука",Матрица,C223091025,Ноутбук
sila HK2-1404 c223014125 asset 7101087,"Добрый день!
Прошу взять ноутбук sila HK2-1404 c223014125 asset 7101087 в гарантийный ремонт
Не включается, нет индикации заряда",Материнская плата,C223014125,Ноутбук
HK2-1404 // Проблема с портом type-c,"Добрый день!
Не работает один порт type-c.",Материнская плата,C223012095,Ноутбук
Неисправность Ноутбук СИЛА НК2-3404 - NTB48532 S/N,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48532 (S/N: C223090552)
 Описание неисправности – вышла из строя матрица. В верхней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Матрица,C223090552,Ноутбук
НК2-1404 // Проблемы с зарядными устройствами,"Добрый день,
вышли из строя зарядные устройства.
Просьба завести заявку в рамках гарантийного ремонта.
 C223012685 C223010230 C223010386",Блок питания,"C223012685, C223010230, C223010386",Ноутбук
Ноутбук НК2-1404 // Вентилятор трется о сетку,"Добрый день.
Спустя 30 минут работы вентилятор трется о сетку
Прошу помочь в решении данной проблемы
Спасибо",Вентилятор,C223012430,Ноутбук
Заявка на гарант,"Здравствуйте!
Ноутбук C223094573 периодически мерцает экран. 
 Еще один ноутбук C223094545 сегодня забирают на ремонт. Могу ли я отдать сразу оба?",Матрица,C223094573,Ноутбук
СИЛА НК2-3404  // мерцающая матрица,"Привет, Коллеги.
Снова мерцающие полосы у Силы.  

Серийник: C223090123",Материнская плата,C223090123,Ноутбук
Неисправность сервера СИЛА // 46923,"Модель: сервер CP2 – 5422
S/N : D252030011 
 Расположение: КВ7 
 Описание: Неисправность системы охлаждения сервера 
 Дополнительная информация во вложении.",Сервер,D252030011,Сервер
СИЛА HK2-1404 // Не работает зарядное устройство,Не работает зарядное устройство,Блок питания,C223011088,Ноутбук
Не работает дисплей,Не работает дисплей ноутбука.,Матрица,C223011312,Ноутбук
Неисправность ноутбука Сила NTB49600 (Платформа),"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB49600 (S/N: C223090096)
 Описание неисправности – Вышла из строя матрица. В нижней части экрана образовались полосы разной длины, ширины, появилось мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, неисправность аппаратная.",Матрица,C223090096,Ноутбук
Проблема с изображением на дисплее,"Возникла проблема с отображением информации на дисплее.
Прошу забрать для диагностики",Матрица,C223090664,Ноутбук
Hа: Ноутбук Сила ООО Газпром бурение,"У ноутбука СИЛА НК2-1404 S/N C222091115 возникла проблема:
На прошлой неделе сотрудник работал как обычно, вечером ушёл домой, утром 
пришёл и на ноутбуке показало, что нет системы
В ходе проверки было обнаружено полное обнуление SSD Диска включая SMART",Диск,C222091115,Ноутбук
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров,"Добрый день!
После обновления bios и bmc появились ошибки связанные с системными кулерами (скриншот и выгрузка логов во вложении).
System_Fan_1 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 .
System_Fan_2 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 .
System_Fan_3 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 .
Сброс логов с последующей перезагрузкой bmc не помогли",Материнская плата,D251110015,Сервер
Не работает блок питания,Не работает блок питания на ноутбуке sn C223010123,Блок питания,C223010123,Ноутбук
Ноутбук Сила HK2-1404\ Модернизация WiFi антенны,Необходимо произвести модернизацию WiFi антенны на ноутбуках Сила HK2-1404 S/N C223010918 и C223012938,Wi-fi антенна,C223012938,Ноутбук
+BB0EPgRDBEIEMQRDBDo- +BCEEGAQbBBA- +BB0EGg-2-1404 s/n  +BEEEOwQ+BDwEMA-+BDsEQQRP- +BBEEHw- (+BBIEPgQ7BDMEPgQzBEAEMA-+BDQ-),"Здравствуйте.

                Сломался блок питания (отвалился разъём type-c) у ноутбука СИЛА НК2-1404 серийный номер C222090381.

Эксплуатируется в Волгограде.",Блок питания,C222090381,Ноутбук
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/В3Y//525455,Не рабочий HDMI,Материнская плата,C111110043,Ноутбук
Неисправность сервера СИЛА // 46919,"Коллеги, добрый день. 
 Просьба принять запрос. 
 Модель: сервер CP2 – 5422
S/N : D252030014 
 Расположение: КВ7 
Описание: Неисправность системы охлаждения сервером + неисправность процессора при полной загрузке ЦП частота не поднимается выше 1ГГц 
 bios 8.3 BMC 1262_2
Дополнительная информация о неисправности во вложении.",Сервер,D252030014,Сервер
"СИЛА CX-1015-12 // HDD fault //  s/n . Вышел из строя диск, пришедший на замену по гарантии","Вышел из строя диск, пришедший на замену по гарантии.  Был в резерве проработал 2 месяца. Прошу открыть заявку на ремонт (замену диска)",Диск,Е213120001,СХД
Неисправность Ноутбук СИЛА НК2-3404 - NTB48577 S/N,"Ноутбук СИЛА НК2-3404 - NTB4857 (S/N: C223090551)
 Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Матрица,C223090551,Ноутбук
Проблема с клавиатурой ноутбука,"Добрый день!
Перестала работать часть клавиатуры на ноутбуке СИЛА НК2-1404
Серийный номер C222090998
Как можно передать его вам на диагностику",Клавиатура,C222090998,Ноутбук
Ноутбук Сила. Гарантийный ремонт,"Добрый день. 
 Ноутбук СИЛА HK2-1404  S/n C223014758. Не включается",Материнская плата,C223014758,Ноутбук
Неисправность сервера СИЛА // 46920,"Модель: сервер CP2 – 5422
S/N : D252030021 
 Расположение: КВ7 
 Описание: Неисправность системы охлаждения сервера 
 bios 8.3 BMC 1262_2 
 Дополнительная информация во вложении.",Сервер,D252030021,Сервер
FW: Гарантийный случай,"Добрый день 
 по одному из ноутбуков СИЛА НК2-1404 вышел из строя блок питания.",Блок питания,C223014096,Ноутбук
Ноутбук СИЛА НК2-1404 // не устанавливается система,"Добрый день! Нужна гарантийная замена модуля wifi, антенны в наличае",Wi-fi модуль,C223012840,Ноутбук
Неисправность ноутбука Сила,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48449 (S/N: C223091227)
 Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Матрица,C223091227,Ноутбук
Ноутбук не включается,Ноутбук не включается. Индикатор зарядки активен,Материнская плата,C223010076,Ноутбук
Сервер СР2-5422 // Ошибки на System Fan 2,Появились ошибки по датчику System Fan 2,Материнская плата,D251110010,Сервер
Гарантийный ремонт 2-х ноутбуков СИЛА,"Добрый день! 
 Выявили дефекты изображения на матрице 2-х приобретённых у вас ноутбуках СИЛА НК2-3404. 
 Серийные номера: 
 1)    С223090320 
 2)    С223091504 
 Прошу организовать работы по гарантийному ремонту.",Матрица,С223090320,Ноутбук
заявка на гарантийный ремонт\замену,"Добрый день.
Серийный номер: С223013250
Неисправность: блок питания не подает заряд
Уточните, пожалуйста, как мы можем заменить неработающий блок питания",Блок питания,C223013250,Ноутбук
Неисправность ноутбука Сила,"Добрый день!
Ноутбук СИЛА НК2-3404 - NTB48553 (S/N: C223090502)
Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная",Матрица,C223090502,Ноутбук
"HK2-3404 // артефакты, двоение изображения",Полосы на изображении(так же и в BIOS),Матрица,C223090155,Ноутбук
Ноутбук НК2-1404 //Не работает клавиша F1 или срабатывает с задержкой//С223010731,"Добрый день,
после ремонта ноутбука перестала срабатывать кнопка F1 и иногда срабатывает сама и вызывает окно справки в приложения и браузере.
Просьба завести заявку в рамках гарантийного ремонта",Клавиатура,С223010731,Ноутбук
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 512Gb/ С112040045 /инв. 525861_ВЛN,"Ноутбук при загрузке 5-10% отвечает на любые действия с задержкой 2-3 секунды, картинка на экране отключается каждые 2-3 секунды при подключенном мониторе и без него, в логах событий многочисленные сбои видеоядра, отключения сетевого драйвера. Перезагрузки и обновления драйверов с проблемой не помогли. 
Порт HDMI в ноутбуке уже давно не работает",Материнская плата,С112040045,Ноутбук
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb//инв. 525698,"Не работает HDMI

Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/C111110003/инв. 525698",Материнская плата,C111110003,Ноутбук
Ноутбук СИЛА HK-1404 // Разбит экран,Добрый день! Отключается экран во врем работы,Материнская плата,C223011480,Ноутбук
СИЛА НК2-1404 // Не включается,Трещат вентиляторы при работе ноутбука,Вентилятор,C223012410,Ноутбук
Ноутбук СИЛА HK1-1425/i5-1135G7/1*16G/m.2 256G/B3Y/С111080061/инв. №525315,Не работает HDMI,Материнская плата,С111080061,Ноутбук
"ноутбук НК2-1404, sn","Добрый день. 
 У ноутбука НК2-1404 перестал определяться  NVME SSD-накопитель, на другом ноутбуке SSD-накопитель работает нормально. 
 Серийный номер ноутбука – C222091591",Материнская плата,C222091591,Ноутбук
Заряд аккумулятора,"Отсутствие заряда аккумулятора, использовались несколько исправных БП для проверки, ноутбук оставался подключенным к БП около суток, светодиод заряда постоянно оранжевого цвета, при отключении БП, ноутбук мгновенно выключается",Аккумулятор,C223100567,Ноутбук
Драйвера НК2-3404 на WIn10x64,"Добрый день.
Просьба выложить актуальные драйвера для НК2-3404 на WIn10x64. На сайте присутствуют только драйвера для Win11. + Сделать разбивку для чего какой драйвер идет.
Также просьба обратить внимание на драйвера для звука. Есть проблема, что при подключении внешних звуковых устройств. Проявляется в 2х вариантах:
1) Звук попросту не идет, хотя в диспетчере подключенное оборудование отображается. Подключение устройств через USB. При отключении стороннего устройства - звук через ноутбук идет корректно.
2) Про подключении док-станции иконка звука в правом нижнем углу становится перечеркнутой, как будто звуковых устройств нет совсем. Лечится только принудительной перезагрузкой с кнопки (часто еще и не с первого раза помогает, приходится по 3-4 раза перезагружать)",Консультация,C223091496,Ноутбук
СИЛА НК2-1404 \нет загрузочного  диска\,"Пропал загрузочный диск.
При включении попадает в BIOS",Диск,C222090950,Ноутбук
Ноутбук НК2-1404 \\  \\ wi-fi,"Не стабильно работает wi-fi, пропадает соединение и в устройствах не отображается, пробовал переустановить драйвера не помогает, после нескольких перезагрузок wi-fi появляется, но через какое то время опять пропадает",Wi-fi антенна,C223012010,Ноутбук
HK2- 1404 // Не работает залипание клавиш  F G  H  отваливается кнопка Backspace,"Добрый день,
запилают клавиши при печати F G H,  отваливается клавиша Backspace
Просьба завести заявку в рамках гарантийного ремонта",Клавиатура,C223010731,Ноутбук
Неисправность сервера СИЛА // 46915,"Модель: сервер CP2 – 5422
S/N : D252030010
 Расположение: КВ7 
 Описание: Неисправность системы охлаждения сервера и модуля управления. 
 Приоритет: 3 
 Приоритет: 3 
 Дополнительная информация во вложении.",Сервер,D252030009,Сервер
Обновление BIOS,"Добрый день. Просьба прислать ссылку на последнюю версию BIOS для HK2-1404
И еще вопрос - планируется ли делать корректный портал с драйверами, чтобы можно было зайти и скачать драйвера в разных редакциях? По каждому случаю не удобно писать заявки на предоставление драйверов",Консультация,C223010446,Ноутбук
Ноутбук СИЛА HK-1404 // полосы на экране,периодические чёрные вертикальные полосы на экране,Материнская плата,C223011328,Ноутбук
Ноутбук СИЛА НК2-1404  // мерцание экрана,"Коллеги, добрый день!
Антон, у нас поломка очередного ноутбука:

Ноутбук СИЛА НК2-1404 1 шт., C223013328
Мерцание монитора
Что делать будем с данной ситуацией",Матрица,C223013328,Ноутбук
полосы на матрице НК2-3404,Полосы на матрице.,Матрица,C223090893,Ноутбук
Полосы и мерцание на мониторе,На ноутбуку СИЛА НК2-3404 появились полосы и мерцание экрана (фото во вложении),Матрица,C223090716,Ноутбук
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо",Блок питания,"C223011355, C223012685, C223011958",Ноутбук
"СИЛА НК2-3205 // Перечень проблем с ноутбуками СИЛА // Проблемы при подключении к док-станции, второго монитора","Коллеги, добрый день!
Есть ряд ноутбуков которыми пользуются наши сотрудники, у которых возникают общие проблемы, а так же, индивидуальные.
Привожу несколько ноутбуков с описанием проблем от пользователей: 




СИЛА HK2 3205 №C233041042
1)Если подключена док-станция , то часто , не работает USB-C гарнитура(но видна как устройство) . Помогает только отключить док-станцию и гарнитуру -> подключить гарнитуру -> подключить док-станцию . Док станция HP USB-C G5 5TW10AA
2)Не корректно работает со вторым монитором через HDMI . Если при открытой крышке ноутбука , подключить второй монитор , то на дисплее ноутбука начинаем ""моргать"" изображение , а второй монитор не загорается . Помогает только акрытие крышки , ноутбука и затем только подключение второго монитора . Монитор имеет разрешение 3440х1440. Если же подключить  через док-станцию, то проблем не наблюдается",Программное обеспечение,C233041042,Ноутбук
Сила НК2-1404 / перестало работать зарядное устройство для ноутбука,"Сила НК2-1404 / перестало работать зарядное устройство для ноутбука/ C223100251
прошу заменить по гарантии",Блок питания,C223100251,Ноутбук
Не работает ноутбук,"Добрый день!
Ноутбук C223013256 перестал корректно включаться.
После нажатия на кнопку включения загорается индикатор, но кулер не крутится, изображение не появляется.
Прошу помощи в диагностике неисправности, сброс по питанию проблему не решает",Материнская плата,C223013256,Ноутбук
Обновление BIOS и BMC Cube,"Добрый день!
Если были обновления этих компонентов, прошу предоставить для скачивания.
И появился ли у вас какой-то портал с прошивками и инструкциями по оборудованию Сила",Консультация,D263080001,Сервер
СИЛА НК2-1404 // Сломался разъема Адаптера питания// С222090230,Здравствуйте. Сломался разъем Адаптера питания (фото во вложении) ноутбука СИЛА НК2-1404.,Блок питания,С222090230,Ноутбук
Неисправность сервера // 46909,"Коллеги, добрый день.
Просьба принять запрос.
Модель: сервер CP2 – 5422
S/N : D252030013 
 Расположение: КВ7 
 Описание: Неисправность системы охлаждения сервера. 
 Приоритет: 3 
 Дополнительная информация во вложении.",Сервер,D252030013,Сервер
не работоспособность BMC,"Добрый день.

Сервер перестал пускать в BMC возвращая Invalid username or password
Ни под одним из трех пользователей не удается зайти ни по https ни по ssh
После попытки перезагрузки сервер индицирует ошибку (server_leds_18072024.jpg),до загрузки  ОС не доходит.

Таких серверов 4 шт, по каждому сделана отдельная заявка",Материнская плата,"D253040009, D253010009",Сервер
Не работает блок питания,Не работает блок питания,Блок питания,С223092905,Ноутбук
Неисправность ноутбука СИЛА НК2-3404 - NTB48569,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48569 (S/N: C223090918)
 Описание неисправности – экран ноутбука появились полосы, во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Матрица,C223090918,Ноутбук
Неисправность Ноутбук СИЛА НК2-3404 - NTB48595 (S/N: ),"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48595 (S/N: C223090725)
 Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. 
 Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Матрица,C223090725,Ноутбук
"Ноутбук СИЛА HK-1404 // проблемы с включением, с usb-портом","Добрый день! 
Проблемное включение и выключение компьютера. Компьютер не всегда включается даже при полной зарядке, но без подключения по проводу. Иногда включается даже с проводом со второго раза. При определенных условиях компьютер не выходит из режима сна, помогает только принудительное выключение, однако ноутбук не всегда реагирует на нажатую кнопку (вместо положенных 4-х секунд на выключение).
Проблема с одним юсб-портом - не подключается любые внешние устройства. Переустановка драйверов, включение/выключение порта через диспетчер устройств, перезагрузка результата не дали",Материнская плата,C223012662,Ноутбук
СИЛА HK2-1404 // Краш SSD,"Добрый день, на ноутбуке крашится SSD",Оперативная память,C223012059,Ноутбук
Перестал включаться,Перестал включаться,Материнская плата,C223092664,Ноутбук
Не работает блок питания,В течении недели перестал внезапно работать блок питания на ноутбуке  Сила НК2-1404 v2 SN:  C223100360,Блок питания,C223100360,Ноутбук
"Свежая версия BMC Cube, шаблон для Zabbix","Добрый день!
Есть свежая версия BMC Cube для серверов СИЛА CP2-6327?
У нас установлена CUBE_63_PLATFORM_1264_2.
Поддержка мониторинга физических дисков по SNMP еще не добавлена?
Шаблон для Zabbix не появился? У нас есть только ""Template Server Gooxi IPMI""",Консультация,D263120004,Сервер
Полосы на экране,Полосы на экране,Матрица,C223010035,Ноутбук
Не работает зарядка Type-C СИЛА НК2-1404,"Не работает зарядное устройство Type-C СИЛА НК2-1404 // C223101296
От другого устройства зарядка идет корректно.",Блок питания,C223101296,Ноутбук
СИЛА НК2-1404 v2 // Неисправность ноутбука //  С223011138,"Прошу принять в гарантийный ремонт ноутбук ""СИЛА НК2-1404"" s/n: С223011138.
Заявленная неисправность: в процессе работы регулярно появляется ""синий экран"", и ноутбук сам уходит в перезагрузку. Переустановка ОС на ноутбуке проблему не устранило",Диск,C223011138,Ноутбук
СИЛА НК2-1404 // не работает LAN порт // С222090774,"Добрый день.
Ноутбук СИЛА, не работает LAN порт
Серийник: С222090774
Просьба сообщить, действует ли гарантия на данный ноутбук. 

Благодарю.",Wi-fi модуль,С222090774,Ноутбук
Ноутбук не включается,"Ноутбук не включается, постоянно перезагружается, не всегда выходит из спящего режима",Вентилятор,C223100275,Ноутбук
СХД CX4-1127-00 // Неисправный диск,"Добрый день. 
Коллеги, 
Прошу открыть кейс по неисправному диску на dd: dd202.region..ru - Disk 3.49 [SN: ZC1C32DR] Enclosure=3:Disk=49
@dd202-p1(active:0)# alerts show current
Id      Post Time                  Severity   Class               Object                Message
-----   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
p0-86   Fri Apr  5 06:22:28 2024   ERROR      SystemMaintenance                         EVT-SMTOOL-00001: Error communicating with mail server.
m0-53   Fri May 17 07:50:53 2024   CRITICAL   HardwareFailure     Enclosure=3:Disk=49   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd202-p1(active:0)#
@dd202-p1(active:0)# system show serial
Serial number: CKM00194301861
@dd202-p1(active:0)# system show model
Model number: DD9800
@dd202-p1(active:0)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10193400046   Online                          4 Slots
2           DS60        FCNCD191700342   Online                          60 Slots
3           DS60        FCNCD191700150   Online                          60 Slots
4           DS60        FCNCD191700305   Online                          60 Slots
5           DS60        FCNCD191700419   Online                          60 Slots
6           DS60        FCNCD191500258   Online                          60 Slots
7           DS60        FCNCD191700040   Online                          60 Slots
8           ES30        CKM00194101704   Online                          15 Slots
---------   ---------   --------------   ------   --------   ---------   --------
8 enclosures present.
@dd202-p1(active:0)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  s  . |.  .  . |.  .  . |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  s |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  s |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |F  .  . |.  .  . |.  .  R |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |s  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |s  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |s  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |s  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  . |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |s  .  . |.  s  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  s  . |.  .  . |
                 |--------|--------|--------|--------|
6                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  . |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  s  . |.  s  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |s  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
8                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
--------------   ----------------------------------------------

Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   312
s        Spare Disks                    20
R        Spare (reconstructing) Disks   1
