Тема,Описание,Точка отказа,Серийный номер,Тип оборудования
Прошу принять запрос на ремонт оборудования с серийным номером D252030013.",Сервер,D252030013,Сервер
Обновление BMC Cube для Zabbix,"Доброго времени суток! У нас есть обновленная версия BMC Cube для Zabbix, которую мы хотели бы вам предложить.",Консультация,D263120004,Сервер
гарантийный ремонт,"Добрый день! Ноутбук HK2-1404, серийный номер C223013450. Отпала клавиша.",Клавиатура,C223013450,Ноутбук
Ноутбук,Проблемы с работой модели Сила НК2-1404 v2 после обновления драйверов беспроводной сети,Wi-fi модуль,C223100312,Ноутбук
Проблемы с ноутбуком NB2-1404,"Добрый день, коллеги. Мы обнаружили повреждение корпуса ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Гарантия,"Пожалуйста, уточните контактные данные ближайшего авторизованного сервисного центра...",Диск,С222091091,Ноутбук
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030021",Сервер,D252030021,Сервер
Заряд аккумулятора,"Не держит заряд, использовался в течение нескольких лет",Аккумулятор,C223100567,Ноутбук
HK2-1404,"Добрый день, не функционирует звук на ноутбуке, конкретно проблема с разъемом Jack.",Jack,C223011358,Ноутбук
СИЛА НК2-1404,При работе ноутбука слышен шум от системы охлаждения,Вентилятор,C223012410,Ноутбук
Ноутбук,"Система HP 290 G2 не функционирует должным образом, проблема с Wi-Fi модулем",Wi-fi модуль,C223100312,Ноутбук
Открыть кейс по неисправному диску,Добрый день. Прошу открыть дело по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Драйвера для ноутбука,Доброго дня! Ми отримали для тестування один з моделей ноутбуків.,Консультация,C223090609,Ноутбук
SLA-7654,На компьютере не работает видеокарта,Оперативная память,C223012059,Ноутбук
Проблемы с динамиком,Добрый день! На ноутбуке C111120016 не работает левый динамик.,Динамики,C111120016,Ноутбук
Ноутбук НК2-1404,"Периодически пропадает подключение к Wi-Fi, возникают сбои в работе беспроводной сети.",Wi-fi антенна,C223012010,Ноутбук
НК2-1404,Не удается подключиться к Wi-Fi сети,Wi-fi модуль,C223101219,Ноутбук
Проблемы с ноутбуком NB2-1404,"Добрый день, коллеги. Мы обнаружили искривление корпуса ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Открыть кейс по неисправному диску,Добрый день. Прошу открыть кейс по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Ноутбук,"При подключении USB наушников, система начинает заметно тормозить.",Консультация,С111120102,Ноутбук
HK2-1404,"Добрый день, некорректная работа клавиш F при печати...",Клавиатура,C223010731,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением серийного номера ноутбука.",Программное обеспечение,C233041042,Ноутбук
Проблемы с сервером СИЛА СР2-5422,"Добрый день. На нашем сервере возникла проблема с SFP модулем, серийный номер D252110012.",SFP модуль,D252110012,Сервер
Ноутбук НК2-1404,"Периодически пропадает подключение к Wi-Fi, требуется перезагрузка для восстановления соединения.",Wi-fi антенна,C223012010,Ноутбук
Гарантийный ремонт ноутбука СИЛА НК2-1404 v2,Прошу принять в гарантийный ремонт ноутбук с проблемой с диском.,Диск,C223011138,Ноутбук
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030010",Сервер,D252030009,Сервер
СИЛА НК2-1404//нет звука,Прошу предоставить информацию о ближайшем сервисном центре...,Консультация,C222091827,Ноутбук
Заряд аккумулятора,Быстро разряжается после полной зарядки,Аккумулятор,C223100567,Ноутбук
SLA-1404,На устройстве происходит сбой накопителя SSD,Оперативная память,C223012059,Ноутбук
Проблемы с сервером,Добрый день. На нашем сервере возникли проблемы с оборудованием...,SFP модуль,D252110012,Сервер
IBS. СИЛА хрипит левый динамик,Добрый день! На устройстве с серийным номером C111120016 наблюдается проблема с левым динамиком.,Динамики,C111120016,Ноутбук
Проблемы с охлаждением ноутбука,При работе ноутбука слышен треск вентиляторов,Вентилятор,C223012410,Ноутбук
Ноутбук,Система HP 290 G2 не функционирует должным образом. Серийный номер: C223100312.,Wi-fi модуль,C223100312,Ноутбук
Неисправность сервера,"Добрый день, коллеги. Прошу принять информацию о необходимости замены сервера с серийным номером D252030019.",Сервер,D252030019,Сервер
Не работает зарядка Type-C,Проблемы с зарядным устройством Type-C,Блок питания,C223101296,Ноутбук
Ноутбук,Система HP 290 G2 не функционирует должным образом. Проблемы с Wi-Fi модулем.,Wi-fi модуль,C223100312,Ноутбук
Гарантийный ремонт ноутбука,Прошу принять в гарантийный ремонт ноутбук с проблемой с диском.,Диск,C223011138,Ноутбук
Неисправность сервера,"Добрый день, коллеги. Прошу принять информацию о проблеме с оборудованием.",Сервер,D252030019,Сервер
Драйвера для ноутбука,Доброго дня! Мы получили для тестирования один из последних образцов...,Консультация,C223090609,Ноутбук
Ноутбук НК2-1404,"Добрый день, после ремонта ноутбука перестала работать клавиша F1.",Клавиатура,С223010731,Ноутбук
HK2-1404,"Добрый день, не работает звук на компьютере...",Jack,C223011358,Ноутбук
Ноутбук,Необходимо произвести модернизацию WiFi антенны,Wi-fi антенна,C223012938,Ноутбук
Ноутбук СИЛА HK-1404,"Доброго дня! Не працюють блоки живлення, прошу...",Блок питания,"['C223012682', 'C223011343', 'C223011380']",Ноутбук
Проблемы с СХД,Вылетело несколько дисков и потребовалась перезагрузка резервной системы хранения данных.,Диск,CKM01212505744,СХД
Проблема с серийным номером,Добрый день! Ранее мы отправляли к вам на обслуживание ноутбук с серийным номером C223012272. Сейчас возникла проблема с этим устройством.,Консультация,C223012272,Ноутбук
Заряд аккумулятора,"Быстро разряжается, хотя используется недолго и заряжен недавно.",Аккумулятор,C223100567,Ноутбук
HK2-1404,"Добрый день, не функционирует аудио на ноутбуке...",Jack,C223011358,Ноутбук
IBS. СИЛА хрипит левый динамик,Доброго дня! На пристрої з серійним номером...,Динамики,C111120016,Ноутбук
Проблемы с системой охлаждения ноутбука,"При работе ноутбука слышен громкий шум вентилятора, который мешает нормальной работе.",Вентилятор,C223012410,Ноутбук
Проблемы с СХД,Вылетело несколько дисков и резервная копия была нарушена.,Диск,CKM01212505744,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о неисправности сервера с серийным номером D252030013.",Сервер,D252030013,Сервер
Обновление BMC Cube для Zabbix,Доброго времени суток! У нас есть обновлённая версия...,Консультация,D263120004,Сервер
HK2-1404,"Добрый день, не работает звук на моем ноутбуке...",Jack,C223011358,Ноутбук
Ноутбук,Проблемы с работой модели Сила НК2-1404 v2 после обновления драйверов,Wi-fi модуль,C223100312,Ноутбук
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному оборудованию.,Диск,CKM00194401300,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта серверного оборудования с серийным номером D252030013.",Сервер,D252030013,Сервер
HK2-1404,"Добрый день, некорректная работа клавиши F при...",Клавиатура,C223010731,Ноутбук
SLA-1404,На устройстве периодически возникают ошибки с оперативной памятью.,Оперативная память,C223012059,Ноутбук
Ноутбук НК2-1404,"Периодически пропадает подключение к Wi-Fi, через определенные промежутки времени.",Wi-fi антенна,C223012010,Ноутбук
СИЛА НК2-1404,Не работает зарядное устройство Type-C для СИЛА НК...,Блок питания,C223010757,Ноутбук
Неисправность сервера,"Добрый день, коллеги. К сожалению, наш сервер...",Сервер,D252030012,Сервер
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением данных при загрузке программного обеспечения. Серийный номер ноутбука - C233041042.",Программное обеспечение,C233041042,Ноутбук
SLA-1404,На устройстве обнаружен сбой накопителя SSD,Оперативная память,C223012059,Ноутбук
Сервер СИЛА СР2-5422,Добрый день. На нашем сервере возникла проблема с SFP модулем.,SFP модуль,D252110012,Сервер
Проблемы с охлаждением ноутбука,При работе ноутбука слышен шум от системы охлаждения,Вентилятор,C223012410,Ноутбук
Проблемы с ноутбуком NB2-1404,"Добрый день, коллеги. Мы обнаружили искривление корпуса на устройстве с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Ноутбук,У ноутбука СИЛА НК2-1404 с серийным номером C222091115 возникли проблемы с диском.,Диск,C222091115,Ноутбук
Обновление BIOS,Доброго времени суток. Нужна помощь с получением ссылки на актуальную версию BIOS для моего устройства. Модель ноутбука: ...,Консультация,C223010446,Ноутбук
HK2-1404,"Добрый день, некорректная работа клавиши F при нажатии.",Клавиатура,C223010731,Ноутбук
Проблемы с зарядкой Type-C,Неисправность блока питания,Блок питания,C223101296,Ноутбук
Ноутбук,У ноутбука СИЛА НК2-1404 с серийным номером C2...,Диск,C222091115,Ноутбук
Проблема с серийным номером,Добрый день! Ранее мы отправляли к вам на обслуживание ноутбук с серийным номером C223012272.,Консультация,C223012272,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением серийного номера на нашем оборудовании.",Программное обеспечение,C233041042,Ноутбук
HK2-1404,"Добрый день, не функционирует аудио на устройстве...",Jack,C223011358,Ноутбук
IBS. СИЛА хрипит левый динамик,Добрый день! На устройстве XYZ123456789 левый динамик издает хрипящие звуки.,Динамики,XYZ123456789,Ноутбук
Не работает блок питания,В течение последней недели внезапно перестал функционировать блок питания.,Блок питания,C223100360,Ноутбук
Ноутбук,Система HP 290 G2 не работает корректно...,Wi-fi модуль,C223100312,Ноутбук
Открыть кейс по неисправности диска,Добрый день. Прошу рассмотреть проблему с неисправным диском.,Диск,CKM00194401300,СХД
Заряд аккумулятора,"Быстро разряжается, несмотря на непродолжительное использование...",Аккумулятор,C223100567,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовместимостью программного обеспечения. Серийный номер нашего устройства - C233041042.",Программное обеспечение,C233041042,Ноутбук
SLA-1404,На устройстве возникла проблема с накопителем SSD,Оперативная память,C223012059,Ноутбук
Проблемы с сервером,Добрый день. На нашем сервере возникли некоторые технические неполадки...,SFP модуль,D252110012,Сервер
Проблемы с динамиком,Добрый день! На устройстве C111120016 не функционирует динамик.,Динамики,C111120016,Ноутбук
Ноутбук,"Система HP 290 G2 не работает корректно, проблема с подключением к Wi-Fi.",Wi-fi модуль,C223100312,Ноутбук
Проблемы с ноутбуком NB268,"Добрый день, коллеги. Мы обнаружили деформацию корпуса и трещины на экране ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением некоторых параметров системы. Серийный номер нашего устройства: C233041042.",Программное обеспечение,C233041042,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением серийного номера ноутбука C233041042.",Программное обеспечение,C233041042,Ноутбук
IBS. СИЛА хрипит левый динамик,Доброго дня! На пристрої з серійним номером C111120016 спостерігається проблема з лівим динаміком.,Динамики,C111120016,Ноутбук
Заряд аккумулятора,"Быстро теряет заряд, даже при непродолжительном использовании.",Аккумулятор,C223100567,Ноутбук
SLA-7684,На компьютере не загружается операционная система,Оперативная память,C223012059,Ноутбук
Заряд аккумулятора,"Быстро разряжается, используется менее суток с момента полной зарядки",Аккумулятор,C223100567,Ноутбук
Ноутбук не включается,"Ноутбук не включается, вентилятор работает без остановки",Вентилятор,C223100275,Ноутбук
SLA-7654,Не работает видеокарта на ноутбуке,Оперативная память,C223012059,Ноутбук
Проблемы с динамиком,Добрый день! На устройстве X111120016 не работает динамик.,Динамики,X111120016,Ноутбук
Ноутбук НК2-1404,"Добрый день, после ремонта ноутбука перестали работать...",Клавиатура,С223010731,Ноутбук
Заряд аккумулятора,"Быстро разряжается, даже при непродолжительном использовании.",Аккумулятор,C223100567,Ноутбук
SLA-1404,На устройстве обнаружен сбой диска SSD,Оперативная память,C223012059,Ноутбук
Проблемы с ноутбуком NB265,"Добрый день, коллеги. Мы обнаружили деформацию корпуса и трещины на экране ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Заряд аккумулятора,"Быстро разряжается, используется менее суток с момента полной зарядки.",Аккумулятор,C223100567,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением некоторых параметров ноутбука.",Программное обеспечение,C233041042,Ноутбук
HK2-1404,"Добрый день, не работает звук на устройстве...",Jack,C223011358,Ноутбук
IBS. СИЛА хрипит левый динамик,"Доброго дня! На пристрої з серійним номером C111120016 виникли проблеми з динаміком. Праве коло обравно працює, але ліве хрипить.",Динамики,C111120016,Ноутбук
Гарантийный ремонт Т2,Добрый день. Прошу произвести гарантийный ремонт вентилятора ноутбука с серийным номером C223014726.,Вентилятор,C223014726,Ноутбук
Неисправность сервера,"Добрый день,
Прошу принять запрос о неисправности сервера с серийным номером D252030013.",Сервер,D252030013,Сервер
HK2-1404,"Добрый день, не функционирует аудио на моем ноутбуке...",Jack,C223011358,Ноутбук
Ноутбук,Сбой в работе ноутбука HP EliteBook x360 830 G7 после обновления драйверов,Wi-fi модуль,C223100312,Ноутбук
Неисправность сервера,"Добрый день, прошу принять запрос о неисправности оборудования. Серийный номер D252030013.",Сервер,D252030013,Сервер
Драйвера для ноутбука,Доброго дня! Отримали для тестування один з нових...,Консультация,C223090609,Ноутбук
SLA-7654,Не функционирует графическая карта на лэптопе,Оперативная память,C223012059,Ноутбук
IBS. СИЛА хрипит левый динамик,Доброго дня! На пристрої з серійним номером C111120016 виникає проблема з лівим динаміком.,Динамики,C111120016,Ноутбук
Ноутбук,Сила НК2-1404 v2  SN: C223100312 не работает,Wi-fi модуль,C223100312,Ноутбук
Ноутбук НК2-1404,"Периодически пропадает подключение к Wi-Fi, возникают ошибки при передаче данных.",Wi-fi антенна,C223012010,Ноутбук
Проблемы с ноутбуком NB2-1404,"Добрый день, коллеги. Мы обнаружили повреждение корпуса...",Корпус,C223012632,Ноутбук
Неисправность сервера,"Добрый день, коллеги. Прошу принять информацию о необходимости замены сервера с серийным номером D252030014.",Сервер,D252030014,Сервер
СИЛА НК2-1404//нет звука,Прошу предоставить информацию о ближайшем сервисном центре для ремонта ноутбука с серийным номером C222091827.,Консультация,C222091827,Ноутбук
HK2-1404,"Добрый день, некорректная работа клавиши F при наборе текста вызывает неудобства.",Клавиатура,C223010731,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением параметров видеокарты и драйверов.",Программное обеспечение,C233041042,Ноутбук
Проблемы с сервером,Добрый день. На нашем сервере возникли некоторые проблемы с оборудованием.,SFP модуль,D252110012,Сервер
Проблемы с охлаждением ноутбука,"При работе ноутбука слышен шум от системы охлаждения, особенно при высоких нагрузках.",Вентилятор,C223012410,Ноутбук
СИЛА НК2-1404 // Не работает LAN порт // С2220,Добрый день. Ноутбук СИЛА. Не функционирует LAN порт.,Wi-fi модуль,С222090774,Ноутбук
Неисправность сервера,"Добрый день, прошу принять запрос о неисправности оборудования.",Сервер,D252030013,Сервер
Заряд аккумулятора,"Быстро теряет заряд, даже если недавно был заряжен",Аккумулятор,C223100567,Ноутбук
SLA-1404,На устройстве наблюдается ошибка накопителя SSD,Оперативная память,C223012059,Ноутбук
НК2-1404,Не удается подключиться к беспроводной сети,Wi-fi модуль,C223101219,Ноутбук
Гарантийный ремонт ноутбука,Прошу принять в гарантийный ремонт устройство с проблемой диска.,Диск,C223011138,Ноутбук
Проблемы с сервером,Добрый день. На нашем сервере возникли некоторые технические трудности...,SFP модуль,D252110012,Сервер
IBS. СИЛА хрипит левый динамик,Доброго дня! На пристрої з серійним номером C111120016 виникли проблеми з динаміком. Ліву сторону системи звуку помічено хрип.,Динамики,C111120016,Ноутбук
НК2-1404,Не работает Wi-Fi (Кашира),Wi-fi антенна,C223101179,Ноутбук
Проблемы с СХД,Несколько дисков вышли из строя и понадобилось заменить их.,Диск,CKM01212505744,СХД
Проблема с клавиатурой ноутбука,Добрый день! Перестали функционировать некоторые клавиши на клавиатуре моего ноутбука.,Клавиатура,C222090998,Ноутбук
Ноутбук СИЛА HK-1404,"Доброго дня! Не працюють блоку живлення, прошу...",Блок питания,"['C223012682', 'C223011343', 'C223011380']",Ноутбук
Проблемы с ноутбуком NB2-1404,"Добрый день, коллеги. Мы обнаружили повреждение корпуса.",Корпус,C223012632,Ноутбук
Драйвера для ноутбука,Доброго дня! Отримали для тестування один з ноутбуків HP. Чи можете допомогти нам з установкою драйверів?,Консультация,C223090609,Ноутбук
гарантийный ремонт,"Добрый день! Ноутбук HK2-1404, серийный номер C223013450.",Клавиатура,C223013450,Ноутбук
SLA-7684,На устройстве не удаётся запустить операционную систему,Оперативная память,C223012059,Ноутбук
Полосы на экране,Полосы на экране могут появляться по разным причинам.,Матрица,C223090696,Ноутбук
Ноутбук не включается,"Не удается включить ноутбук, вентилятор работает без остановки",Вентилятор,C223100275,Ноутбук
Ноутбук,Необходимо провести апгрейд Wi-Fi модуля,Wi-fi антенна,C223012938,Ноутбук
Проблемы с зарядным устройством SIL-238,Зарядное устройство Type-C для ноутбука SIL-238 не функционирует.,Блок питания,C223010757,Ноутбук
Ноутбук,Проблемы с работой модели Сила НК2-1404 v2. Серийный номер C223100312.,Wi-fi модуль,C223100312,Ноутбук
СХД CX4-1127-00,"Добрый день. 
Прошу открыть кейс по неисправному диску с серийным номером CKM00194301861. 
Заранее благодарен.",Диск,CKM00194301861,СХД
Ноутбук,При подключении USB гарнитуры система начинает работать нестабильно.,Консультация,С111120102,Ноутбук
HK2-1404,"Добрый день, некорректная работа клавиши F при использовании ноутбука...",Клавиатура,C223010731,Ноутбук
SLA-7683,На компьютере не работает видеокарта,Оперативная память,C223012059,Ноутбук
Повреждение матрицы,Прошу произвести диагностику и сообщить стоимость ремонта ноутбука с поврежденной матрицей.,Матрица,C223014328,Ноутбук
Ноутбук,"Система HP 290 G2 не работает корректно, особенно с подключением к Wi-Fi.",Wi-fi модуль,C223100312,Ноутбук
Ноутбук Сила НК,Добрый день. Нам поступили ноутбуки Сила НК.,Консультация,"C223091216, C223091307, C223091468, C223091751",Ноутбук
Проблема с изображением на дисплее,Возникли проблемы с отображением информации на экране ноутбука,Матрица,C223090664,Ноутбук
НК2-1404,"Добрый день, вышли из строя зарядные устройства. Серийные номера следующие: C223012685, C223010230, C223010386.",Блок питания,"['C223012685', 'C223010230', 'C223010386']",Ноутбук
Гарантия,"Уточните, пожалуйста, Ваши контактные данные для ближайшего сервисного центра.",Диск,С222091091,Ноутбук
Повреждение матрицы,Прошу произвести диагностику и сообщить стоимость ремонта моего ноутбука в связи с повреждением матрицы.,Матрица,C223014328,Ноутбук
Не работает блок питания,В течение последней недели внезапно перестал функционировать блок питания ноутбука с серийным номером C223100360.,Блок питания,C223100360,Ноутбук
HK2-1404,"Добрый день! На дисплее время от времени появляются полосы и искажения изображения. Подозреваю, что проблема связана с материнской платой.",Материнская плата,C223012100,Ноутбук
Драйверы НК2-3404 на Windows 10 x64,"Доброго времени суток.
Прошу вас выложить актуальные драйверы для данного оборудования под операционную систему Windows 10 x64.
С уважением,
Сергей Смирнов",Консультация,C223091496,Ноутбук
HK2-1404,"Добрый день, у меня возникла проблема со звуком на ноутбуке...",Jack,C223011358,Ноутбук
Неисправность ноутбука,Добрый день! Ноутбук SILVER STORM SS-3456B - NTB485...,Матрица,C223090502,Ноутбук
Не работает блок питания,Не работает блок питания на ноутбуке с серийным номером C223010123.,Блок питания,C223010123,Ноутбук
Ноутбук,Система HP 290 G2 не работает должным образом после обновления драйверов беспроводного модуля,Wi-fi модуль,C223100312,Ноутбук
СР2-5422,Появились ошибки по датчику системы охлаждения,Материнская плата,D251110010,Сервер
Неисправность сервера,"Доброго времени суток, товарищи. Пожалуйста, ознакомьтесь с информацией о проблеме...",Сервер,D252030019,Сервер
Обновление BIOS,Доброго времени суток. Нужно помочь с обновлением BIOS.,Консультация,C223010446,Ноутбук
SLA-1404,На устройстве обнаружена проблема с накопителем SSD,Оперативная память,C223012059,Ноутбук
Неисправность Ноутбук СИЛА НК2-3404 - NTB48532,Добрый день! Ноутбук СИЛА НК2-3404 - NTB4...,Матрица,C223090552,Ноутбук
НК2-1404,Невозможно подключиться к беспроводной сети,Wi-fi модуль,C223101219,Ноутбук
Ноутбук не включается,"Ноутбук не подает признаков жизни, индикатор зарядки активен",Материнская плата,C223010076,Ноутбук
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском с серийным номером CKM00194300974.",Диск,CKM00194300974,Сервер
Ноутбук,При использовании USB-гарнитуры возникают проблемы с аудио,Консультация,С111120102,Ноутбук
Заявка на гарантийное обслуживание,Здравствуйте! У меня возникла проблема с ноутбуком C223094573. Матрица вышла из строя.,Матрица,C223094573,Ноутбук
Ноутбук,"Система HP 290 G2 не функционирует должным образом, проблема связана с Wi-Fi модулем",Wi-fi модуль,C223100312,Ноутбук
Неработоспособность BMC,Добрый день. Сервер перестал пускать в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
Проблемы с СХД,Несколько дисков вышли из строя и потребовалось заменить их.,Диск,CKM01212505744,СХД
HK2-1404,"Добрый день, некорректная работа клавиши F при наборе текста",Клавиатура,C223010731,Ноутбук
Заряд аккумулятора,"Быстро разряжается, хотя используется недолго и недавно заряжался.",Аккумулятор,C223100567,Ноутбук
IBS. СИЛА хрипит левый динамик,Доброго дня! На пристрої з серійним номером C111120016 виникли проблеми з динаміком. Ліву сторону системи звуку заважає слухати неприємний хрип.,Динамики,C111120016,Ноутбук
Мерцает экран ноутбука,Проблемы с матрицей,Матрица,C223091623,Ноутбук
Не работает блок питания,"В течение последней недели ноутбук внезапно перестал функционировать, и теперь индикаторы не светятся.",Блок питания,C223100360,Ноутбук
Ноутбук SILHAO HK1-1425/ i5-1135G7/8G/m.2 256Gb/...,Не работает HDMI,Материнская плата,C111110043,Ноутбук
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия была повреждена.",Диск,CKM01212505744,СХД
Драйверы НК2-3404 на Windows 10 x64,Доброго времени суток. Прошу вас выложить актуальные драйверы для ноутбука с Windows 10 x64 и серийным номером C223091496.,Консультация,C223091496,Ноутбук
Проблемы с изображением на дисплее,Возникли проблемы с отображением информации на экране ноутбука.,Матрица,C223090664,Ноутбук
СИЛА HK2-1404,Не функционирует зарядное устройство,Блок питания,C223011088,Ноутбук
Неисправность сервера,"Добрый день, коллеги. Прошу обратить внимание на проблему с оборудованием.",Сервер,D252030019,Сервер
Обновление BIOS и BMC Cube,"Добрый день! Если были обновления этих компонентов, то какова процедура их установки?",Консультация,D263080001,Сервер
Проблемы с экраном ноутбука,Неисправность дисплея,Матрица,C223091623,Ноутбук
Звук и микрофон не работают на ноутбуке,Не работают звук и микрофон на ноутбуке.,Материнская плата,c223012961,Ноутбук
Неисправность сервера,"Добрый день, коллеги. К сожалению, наш сервер D252030012 перестал функционировать.",Сервер,D252030012,Сервер
Драйверы НК2-3404 на Windows 10 x64,Доброго времени суток. Прошу вас выложить актуальные драйверы для модели ноутбука с серийным номером C223091496.,Консультация,C223091496,Ноутбук
IBS. СИЛА хрипит левый динамик,Доброго дня! На пристрої з серійним номером C111120016 виникли проблеми з лівим динаміком.,Динамики,C111120016,Ноутбук
Проблемы с ремонтом,Доброго дня! В прошлом году приобрели у вас ноутбук...,Матрица,C223012127,Ноутбук
S12-567 // Проблемы с зарядным устройством,Не заряжается аккумуляторная батарея,Блок питания,C223011088,Ноутбук
Неисправность BMC,Добрый день. Сервер перестал пускать в операционную систему.,Материнская плата,"D253040009, D253010009",Сервер
Гарантия,"Пожалуйста, укажите адрес ближайшего сервисного центра для обращения по гарантии.",Диск,С222091091,Ноутбук
Неисправность Ноутбук СИЛА НК2-3404 - NTB4857,Ноутбук СИЛА НК2-3404 - NTB4857 (S/N: C2230905),Матрица,C2230905,Ноутбук
СИЛА НК2-1404,Добрый день. Ноутбук СИЛА не работает. Не удается подключиться к локальной сети через LAN порт.,Wi-fi модуль,С222090774,Ноутбук
Ноутбук СИЛА HK-1404,Периодические черные вертикальные полосы на экране,Материнская плата,C223011328,Ноутбук
Проблемы с СХД,Несколько дисков вышли из строя и требуется замена.,Диск,CKM01212505744,СХД
Ноутбук Сила НК2-3404,Добрый день. Нам поступили ноутбуки Сила НК2-3404.,Консультация,"C223091216, C223091307, C223091468, C223091751",Ноутбук
Неисправность ноутбука,Добрый день! Ноутбук SILVER JET A12-3456 - NTB485...,Матрица,C223090502,Ноутбук
Проблемы с ноутбуком СИЛА,Добрый день. Ноутбук СИЛА не включается и не загружается.,Wi-fi модуль,С222090774,Ноутбук
Ноутбук СИЛА HK-1404,Экран отключается во время работы,Материнская плата,C223011480,Ноутбук
Ноутбуки Сила НК,Добрый день. Нам поступили ноутбуки модели Сила НК.,Консультация,"['C223091216', 'C223091307', 'C223091468', 'C223091751']",Ноутбук
СР2-5422,Появились ошибки по датчику системы охлаждения 2,Материнская плата,D251110010,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных компонентов.",Диск,CKM01212505744,СХД
Ноутбуки Сила НК,Добрый день. Нам поступили ноутбуки.,Консультация,"['C223091216', 'C223091307', 'C223091468', 'C223091751']",Ноутбук
SLA-1404,На устройстве обнаружена проблема с SSD диском,Оперативная память,C223012059,Ноутбук
Неисправность ноутбука,Добрый день! Ноутбук SILVER FALCON SF-17-3404 - NTB485...,Матрица,C223090502,Ноутбук
Ноутбук,Добрый день! Требуется гарантийная замена модуля Wi-Fi.,Wi-fi модуль,C223012840,Ноутбук
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Ноутбук,При подключении USB-гарнитуры возникают проблемы со звуком.,Консультация,С111120102,Ноутбук
НК2-1404 v2,Не работает зарядное устройство,Блок питания,C223100822,Ноутбук
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, наш сервер вышел из строя. Серийный номер устройства - D252030019.",Сервер,D252030019,Сервер
Драйвера для ноутбука,"Доброго дня! Отримали для тестування один з ноутбуків, який має серійний номер C223090609. Чи можете надати нам консультацію щодо цього пристрою?",Консультация,C223090609,Ноутбук
SLA-1404,"На устройстве обнаружена проблема с накопителем, которая может быть связана с оперативной памятью.",Оперативная память,C223012059,Ноутбук
HK2-1404,"Добрый день, не функционирует звук на моем ноутбуке.",Jack,C223011358,Ноутбук
Ноутбук,"Приветствую! У нас возникла проблема с ноутбуком SILNAYA NK2-3404. На экране появилась рябь, серийный номер устройства - C223091025.",Матрица,C223091025,Ноутбук
Ноутбук,Необходимо провести апгрейд Wi-Fi антенны,Wi-fi антенна,C223012938,Ноутбук
Ноутбук,Не работает видео выход HDMI,Материнская плата,С111080061,Ноутбук
Проблемы с ноутбуком NB283,"Добрый день, коллеги. Мы обнаружили деформацию корпуса и трещины на экране ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Ноутбук НК2-1404,"Добрый день, после ремонта ноутбука перестали работать клавиши...",Клавиатура,С223010731,Ноутбук
Заряд аккумулятора,"Быстро теряет заряд, несмотря на непродолжительное использование...",Аккумулятор,C223100567,Ноутбук
Проблемы с зарядным устройством,Зарядное устройство Type-C для ноутбука,Блок питания,C223010757,Ноутбук
Неисправность ноутбука SILHAO HK1-1425/ i5-1135G7/8G/m.2 256G,Проблемы с HDMI портом,Материнская плата,C111110043,Ноутбук
SLA-7683,Не работает видеокарта на ноутбуке,Оперативная память,C223012059,Ноутбук
HK2-1404,"Добрый день, у меня возникли сложности с воспроизведением звука.",Jack,C223011358,Ноутбук
Гарантийный ремонт 2-х ноутбуков,Добрый день! Мы выявили дефекты изображения...,Матрица,С223090320,Ноутбук
Ноутбук SILHA HK-1404,"Добрый день! Проблемы с блоком питания, прошу...",Блок питания,"['C223012682', 'C223011343', 'C223011380']",Ноутбук
